cycle name, google sheet id, gid, format
push_2023_09,1mQcdDrLBjuaIcxJa4rBFefL4WZPSJPD5mSXL-usSJ6k,1437337729,gca
pull_2023_09,1mQcdDrLBjuaIcxJa4rBFefL4WZPSJPD5mSXL-usSJ6k,1606038257,gca
leg_2023_09,1mQcdDrLBjuaIcxJa4rBFefL4WZPSJPD5mSXL-usSJ6k,2031752115,gca
